序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
465,1213,中铁特货,中铁特货物流股份有限公司,北京,北京市,60.92亿,3.94亿,3366,2021-09-08,,,--,商品汽车物流、冷链物流、大件货物物流,从事商品汽车物流、冷链物流和大件货物物流业务。
466,1215,千味央厨,郑州千味央厨食品股份有限公司,河南,郑州市,5.93亿,4655.91万,2171,2021-09-06,,,--,定制化和标准化的速冻面米制品,面向餐饮企业的速冻面米制品的研发、生产和销售。
467,1216,华瓷股份,湖南华联瓷业股份有限公司,湖南,株洲市,7.28亿,6086.39万,5338,2021-10-19,,,--,日用陶瓷、工业陶瓷,日用陶瓷制品的研发、设计、生产和销售。
468,1217,华尔泰,安徽华尔泰化工股份有限公司,安徽,池州市,11.23亿,1.17亿,1024,2021-09-29,,,--,基础化工产品、精细化工产品,化工产品的研发、生产与销售。
469,1218,丽臣实业,湖南丽臣实业股份有限公司,湖南,长沙市,18.05亿,5176.06万,716,2021-10-15,,,--,表面活性剂、洗涤,表面活性剂和洗涤用品的研发、生产、销售。
470,1219,青岛食品,青岛食品股份有限公司,山东,青岛市,4.44亿,4771.32万,573,2021-10-21,,,--,钙奶饼干、休闲饼干、花生酱,饼干与花生酱等休闲食品的研发、生产及销售。
471,1222,源飞宠物,温州源飞宠物玩具制品股份有限公司,--,--,--,--,2712,2022-08-18,,,--,宠物牵引用具、宠物零食、宠物注塑玩具,专注于宠物用品和宠物零食的研发、生产和销售。
472,1226,拓山重工,安徽拓山重工股份有限公司,--,--,--,--,720,2022-06-22,,,--,工程机械零部件,工程机械零部件及总成研发、设计、生产、销售与服务。
473,1227,兰州银行,兰州银行股份有限公司,--,--,65.77亿,23.78亿,4121,2022-01-17,,,--,公司银行业务、个人银行业务、资金业务,公司银行业务、零售银行业务和资金业务等。
474,1228,永泰运,永泰运化工物流股份有限公司,--,--,5.37亿,6538.57万,607,2022-04-29,--,,--,跨境化工物流服务、仓储堆存、道路运输,跨境化工物流供应链服务。
475,1229,魅视科技,广东魅视科技股份有限公司,--,--,--,--,220,2022-08-08,,,--,分布式系统、矩阵拼接类产品、智能多媒体中央控制系统,专注于专业视听产品的研发、生产、销售及应用。
476,1230,劲旅环境,劲旅环境科技股份有限公司,--,--,--,--,36069,2022-07-15,,,--,环卫投资运营管理服务、装备制造,环境卫生领域的投资运营管理服务及装备制造。
477,1231,农心科技,农心作物科技股份有限公司,--,--,--,--,491,2022-08-19,,,--,除草剂、杀菌剂、杀虫剂,农药制剂产品的研发、生产与销售。
478,1234,泰慕士,江苏泰慕士针纺科技股份有限公司,--,--,6.51亿,6994.55万,2208,2022-01-11,,,--,针织服装、针织面料,针织面料与针织服装的研发、生产和销售。
479,1235,里得电科,武汉里得电力科技股份有限公司,--,--,1.31亿,2331.51万,412,--,,,--,配网不停电作业专用车辆 、配网不停电作业专用设备 、配网不停电作业专用工具、其他产品和专业服务,"配网不停电作业专用车辆,专用设备,专用工具,专业服务和系统解决方案的提供者。"
480,1236,弘业期货,弘业期货股份有限公司,--,--,5.23亿,9233.21万,659,2022-08-05,,,--,商品期货经纪、金融期货经纪、期货投资咨询、资产管理、基金销售、金融资产投资业务,商品期货经纪、金融期货经纪、期货投资咨询、资产管理、基金销售、金融资产投资业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
481,1238,浙江正特,浙江正特股份有限公司,--,--,--,--,2047,2022-09-19,,,--,遮阳篷、遮阳伞、户外家具、宠物屋、晾晒用具,从事户外休闲家具及用品的研发、生产、销售、服务。
482,1255,博菲电气,浙江博菲电气股份有限公司,--,--,--,--,375,2022-09-30,,,--,绝缘树脂、槽楔与层压制品、纤维制品、云母制品、绑扎制品、复合材料绝缘件,电气绝缘材料等高分子复合材料的研发、生产与销售。
483,1256,炜冈科技,浙江炜冈科技股份有限公司,--,--,--,--,344,--,,,--,标签印刷设备,标签印刷设备的研发、生产和销售。
484,1258,立新能源,新疆立新能源股份有限公司,--,--,--,--,141,2022-07-27,,,--,电力,风力发电、光伏发电项目的投资、开发、建设和运营。
485,1259,利仁科技,北京利仁科技股份有限公司,--,--,5.19亿,2042.00万,656,2022-08-31,,,--,厨房小家电、家居小家电、非电类产品,厨房小家电与家居小家电系列产品研发、设计、生产与销售。
486,1266,宏英智能,上海宏英智能科技股份有限公司,--,--,--,--,408,2022-02-28,,,--,智能电控产品、智能电控总成,智能电控产品及智能电控总成的研发、生产、销售。
487,1267,汇绿生态,汇绿生态科技集团股份有限公司,--,--,9.27亿,1.23亿,394,2021-11-17,--,,--,林工程施工、园林景观设计、苗木种植,园林工程施工、园林景观设计及苗木种植等，能够完整的提供从苗木种植、园林工程设计、施工及后续绿化养护等全产业链服务。
488,1268,联合精密,广东扬山联合精密制造股份有限公司,--,--,--,--,1123,2022-06-30,,,--,活塞、气缸、轴承、曲轴,精密机械零部件的研发、生产及销售。
489,1269,欧晶科技,内蒙古欧晶科技股份有限公司,--,--,3.45亿,6307.01万,2270,2022-09-30,,,--,石英坩埚、硅材料清洗服务、切削液处理服务,石英坩埚产品、硅材料清洗服务、切削液处理服务。
490,1270,铖昌科技,浙江铖昌科技股份有限公司,--,--,--,--,155,2022-06-06,,,--,放大器类芯片、幅相控制类芯片、无源类芯片,微波毫米波模拟相控阵T/R芯片的研发、生产、销售和技术服务。
491,1283,豪鹏科技,深圳市豪鹏科技股份有限公司,--,--,--,--,4409,2022-09-05,,,--,聚合物软包锂离子电池、圆柱锂离子电池、镍氢电池,锂离子电池、镍氢电池的研发、设计、制造和销售。
492,1288,运机集团,四川省自贡运输机械集团股份有限公司,--,--,6.26亿,7202.00万,774,2021-11-01,,,--,通用带式输送机、管状带式输送机、水平转弯带式输送机,从事以带式输送机为主的节能环保型输送机械成套设备的研发、设计、生产和销售。
493,1289,龙源电力,龙源电力集团股份有限公司,--,--,245.90亿,45.79亿,8053,2022-01-24,--,,--,电力,在中国风资源丰富的地区设计、开发、建设、管理及运营风电场，并向各地方电网公司销售电力。
494,1296,长江材料,重庆长江造型材料(集团)股份有限公司,--,--,--,--,874,2021-12-24,,,--,柴油机系列、覆膜砂系列,"铸造用硅砂,覆膜砂和砂芯的研发,生产和销售；铸造废(旧)砂再生技术和设备的研发,生产；压裂支撑剂的研发,生产和销售。"
495,1298,好上好,深圳市好上好信息科技股份有限公司,--,--,--,--,471,2022-10-31,,,--,SoC芯片、无线芯片及模块、电源及功率器件、模拟/数字器件、存储器、LED器件、传感器、处理器、光电器件、结构件及被动器件等各类电子元器件、智能家居产品、物联网无线模组、公网通讯设备、MCU、逻辑器件,电子元器件分销业务、物联网产品设计及制造业务以及芯片定制业务。
496,1299,美能能源,陕西美能清洁能源集团股份有限公司,--,--,3.22亿,6812.25万,344,2022-10-31,,,--,市燃气销售、加气站运营、配套设施、燃器具销售及安装,城市燃气销售、加气站运营以及配套设施、燃器具销售及安装等。
497,1300,三柏硕,青岛三柏硕健康科技股份有限公司,--,--,--,--,1133,2022-10-19,,,--,休闲运动器材、健身器材,休闲运动和健身器材系列产品研发、设计、生产和销售。
498,1308,康冠科技,深圳市康冠科技股份有限公司,--,--,--,--,6104,2022-03-18,,,--,智能交互显示产品、智能电视,智能显示产品的研发、生产以及销售。
499,1309,德明利,深圳市德明利技术股份有限公司,--,--,2.20亿,746.49万,359,2022-07-01,--,,--,存储业务产品、触控业务产品,闪存主控芯片设计、研发，存储模组产品应用方案的开发、优化，以及存储模组产品的销售。
500,1313,粤海饲料,广东粤海饲料集团股份有限公司,--,--,45.77亿,2.47亿,3423,2022-02-16,,,--,特种水产配合饲料、普通水产配合饲料,从事水产饲料研发、生产及销售，并以虾料、海水鱼料等特种水产饲料为主。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
501,1316,润贝航科,润贝航空科技股份有限公司,--,--,--,--,157,2022-06-24,,,--,民用航空油料、航空原材料、航空化学品、清洗剂、消毒液、内饰壁纸、胶带,服务型航材分销商。
502,1317,三羊马,三羊马(重庆)物流股份有限公司,--,--,7.85亿,9364.55万,812,2021-11-30,--,,--,汽车整车综合物流服务、非汽车商品综合物流服务、仓储服务,从事汽车整车综合运输服务业务、非汽车商品综合运输服务业务、仓储服务。
503,1318,阳光乳业,江西阳光乳业股份有限公司,--,--,--,--,1101,2022-05-20,,,--,乳制品、乳饮料、乳粉,液态乳、含乳饮料等产品的研发、生产、销售
504,1319,铭科精技,铭科精技控股股份有限公司,--,--,--,--,1605,2022-05-12,,,--,模具、金属结构件,从事精密冲压模具和金属结构件的研发、生产和销售。
505,1322,箭牌家居,箭牌家居集团股份有限公司,--,--,--,--,17071,2022-10-26,,,--,卫生陶瓷、龙头五金、浴室家具、瓷砖、浴缸浴房、定制橱衣柜、其他品类及配件,集研发、生产、销售与服务于一体，为消费者提供一站式智慧家居解决方案。
506,1323,慕思股份,慕思健康睡眠股份有限公司,--,--,--,--,7358,2022-06-23,,,--,中高端床垫、床架、床品和其他产品,"床垫,床架,床品及其配套家居的研发,设计,生产和销售。"
507,1330,博纳影业,博纳影业集团股份有限公司,--,--,19.97亿,1.99亿,1734,2022-08-18,,,--,电影业务、影院业务,电影业务、影院业务
508,1331,胜通能源,胜通能源股份有限公司,--,--,--,--,1082,2022-09-08,,,--,LNG、运输服务,LNG的采购、运输、销售以及原油、普货的运输服务。
509,1332,锡装股份,无锡化工装备股份有限公司,--,--,4.19亿,4758.41万,737,2022-09-20,,,--,换热压力容器、分离压力容器、反应压力容器、储存压力容器、海洋油气装置模块,从事金属压力容器的研发、设计、制造、销售及相关技术服务。
510,1333,光华股份,浙江光华科技股份有限公司,--,--,5.85亿,2964.72万,310,--,--,,--,户外型聚酯树脂、户内型聚酯树脂,粉末涂料用聚酯树脂的研发、生产和销售。
511,1336,楚环科技,杭州楚环科技股份有限公司,--,--,--,--,374,2022-07-25,,,--,生物除臭设备、离子除臭设备、水处理设备和设备维修服务,集研发、设计、制造、销售、服务为一体的废气恶臭治理系统解决方案服务商。
512,1338,永顺泰,粤海永顺泰集团股份有限公司,--,--,--,--,751,2022-11-16,,,--,麦芽,主要从事麦芽的研发、生产和销售。
513,1339,智微智能,深圳市智微智能科技股份有限公司,--,--,--,--,1709,2022-08-15,,,--,教育办公类产品、消费类产品、网络设备类产品、网络安全类产品、零售类及其他产品,教育办公类、消费类、网络设备类、网络安全类、零售类及其他电子设备产品的研发、生产、销售及服务。
514,1696,宗申动力,重庆宗申动力机械股份有限公司,重庆,重庆市,51.97亿,3.37亿,7656,1997-03-06,--,,汽车零部件,发动机、通机、产品零部件,从事小型热动力机械产品及部分终端产品的研发、制造、销售。
515,1872,招商港口,招商局港口集团股份有限公司,广东,深圳市,75.45亿,54.38亿,15892,1993-05-05,--,,--,港口装卸仓储业务、港口配套业务、保税物流业务,从事集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
516,1896,豫能控股,河南豫能控股股份有限公司,河南,郑州市,87.60亿,2616.20万,3357,1998-01-22,--,,火电,火电项目投资管理业务、煤炭物流业务、新能源业务、综合能源服务业务,火电项目的投资管理、煤炭物流、新能源、综合能源服务等。
517,1914,招商积余,招商局积余产业运营服务股份有限公司,广东,深圳市,58.93亿,-3472.81万,44761,1994-09-28,--,,--,物业管理业务、资产管理业务,物业资产管理与服务。
518,1965,招商公路,招商局公路网络科技控股股份有限公司,天津,天津市,53.41亿,40.19亿,5459,2017-12-25,--,,--,投资运营、交通科技、智慧交通,公路相关的经营收费公路业务和交通科技业务。
519,1979,招商蛇口,招商局蛇口工业区控股股份有限公司,广东,深圳市,759.38亿,154.41亿,54735,2015-12-30,--,,房地产开发,园区开发与运营、社区开发与运营、邮轮产业建设与运营,园区开发与运营、社区开发与运营、邮轮产业建设与运营。
520,2001,新和成,浙江新和成股份有限公司,浙江,绍兴市,62.35亿,17.14亿,10805,2004-06-25,--,,化学原料药,营养品、香精香料,营养品、香精香料、高分子新材料、原料药生产和销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
521,2002,鸿达兴业,鸿达兴业股份有限公司,江苏,扬州市,65.41亿,10.13亿,4445,2004-06-25,--,,其他化学制品,PVC新材料、环境修复工程服务、防疫产品、工业原材料现货电子交易、综合物流服务及信息技术支持、稀土新材料,氢能源产业、化工产业、新材料产业、大环保产业、电子交易平台综合服务。
522,2003,伟星股份,浙江伟星实业发展股份有限公司,浙江,台州市,26.24亿,4.09亿,8580,2004-06-25,--,,服饰辅料,纺织服装、服饰、软件和信息技术服务,从事各类中高档服饰辅料产品的研发、生产与销售。
523,2004,华邦健康,华邦生命健康股份有限公司,重庆,重庆市,91.83亿,5.89亿,12206,2004-06-25,--,,农药,医药业务、医疗业务、农化业务,医药及农化、新材料产品的研发、生产、销售，医疗服务、旅游投资及运营业务。
524,2005,ST德豪,安徽德豪润达电气股份有限公司,安徽,蚌埠市,42.03亿,-9.66亿,5227,2004-06-25,--,,LED,小家电、LED产品,小家电业务和LED封装业务。
525,2006,精功科技,浙江精功科技股份有限公司,浙江,绍兴市,9.50亿,9413.68万,1232,2004-06-25,--,,其他专用机械,太阳能光伏专用装备、新型建筑节能专用设备、轻纺专用设备、碳纤维及复合材料装备、机器人及智能装备、精密制造加工业务及军民融合项目开发,从事碳纤维及复合材料装备、机器人及智能装备、太阳能光伏专用装备、新型建筑节能专用设备、轻纺专用设备等高新技术产品的研制开发、生产销售和技术服务以及精密制造加工业务和军民融合项目开发。
526,2007,华兰生物,华兰生物工程股份有限公司,河南,新乡市,23.68亿,8.04亿,2927,2004-06-25,--,,生物医药,血液制品业务、疫苗制品、创新药和生物类似药,血液制品、疫苗、基因工程产品研发、生产和销售。
527,2008,大族激光,大族激光科技产业集团股份有限公司,广东,深圳市,115.60亿,17.11亿,15460,2004-06-25,--,,电子零部件,其他专用设备,主要从事激光加工设备的研发、生产与销售。
528,2009,天奇股份,天奇自动化工程股份有限公司,江苏,无锡市,24.58亿,9353.36万,2904,2004-06-29,--,,智能装备,智能装备、循环装备、汽车后市场、重工装备,以汽车智能装备、智能仓储、散料输送及智慧工业服务为主的智能装备产业;以废钢加工设备、报废汽车拆解设备、有色金属加工及分选设备为主的循环装备产业;以报废汽车回收拆解、汽车核心零部件再制造及动力电池回收资源化利用为主的汽车后市场产业;以风电铸件业务为主的重工装备产业。
529,2010,传化智联,传化智联股份有限公司,浙江,杭州市,192.80亿,5.40亿,5314,2004-06-29,--,,印染化学品,印染助剂、皮革化纤油剂、涂料及建筑化学品、顺丁橡胶、网络货运平台业务、物流供应链业务、车后业务、智能公路港业务、支付、保险及其他业务、房产销售及工程代建,传化网智能物流业务与化工业务。
530,2011,盾安环境,浙江盾安人工环境股份有限公司,浙江,杭州市,82.79亿,8191.91万,10990,2004-07-05,--,,制冷配件,制冷设备产业、制冷配件产业、节能产业,包括制冷元器件、制冷空调设备的研发、生产和销售。
531,2012,凯恩股份,浙江凯恩特种材料股份有限公司,浙江,丽水市,10.28亿,4172.94万,1076,2004-07-05,--,,造纸,电气及工业用配套材料、过滤材料、特种包装材料,研发、生产、销售高附加值纸基功能材料。
532,2013,中航机电,中航工业机电系统股份有限公司,湖北,襄阳市,111.81亿,7.35亿,29118,2004-07-05,--,,航空装备,航空机电产品,航空机电产品的设计研发、生产制造、市场开拓、售后服务、维修保障。
533,2014,永新股份,黄山永新股份有限公司,安徽,黄山市,20.08亿,2.11亿,2131,2004-07-08,--,,包装印刷,彩印包装材料、镀铝包装材料、塑料软包装薄膜、油墨、其他,"生产经营真空镀膜,多功能薄膜,彩印复合软包装材料,纸基复合包装材料,新型医药包装材料,塑料制品,精细化工产品等高新技术产品。"
534,2015,协鑫能科,协鑫能源科技股份有限公司,江苏,苏州市,4.10亿,865.13万,3037,2004-07-08,--,,涤纶,电力销售、蒸汽销售、色纺产品,清洁能源发电、热电联产及综合能源服务。
535,2016,世荣兆业,广东世荣兆业股份有限公司,广东,珠海市,31.05亿,9.11亿,880,2004-07-08,--,,房地产开发,房地产,房地产开发经营。
536,2017,东信和平,东信和平科技股份有限公司,广东,珠海市,11.90亿,3744.67万,1629,2004-07-13,--,,通信终端设备,智能卡产品、数字身份及安全产品、行业系统解决方案,数字信息安全产品及系统解决方案。
537,2019,亿帆医药,亿帆医药股份有限公司,浙江,杭州市,43.73亿,12.66亿,4285,2004-07-13,--,,生物医药,医药产品、原料药、高分子材料,医药产品、原料药和高分子材料的研发、生产、销售及药品推广服务。
538,2020,京新药业,浙江京新药业股份有限公司,浙江,绍兴市,22.19亿,2.67亿,3490,2004-07-15,--,,化学原料药,心脑血管药物、神经系统药物、消化系统药物、喹诺酮类抗感染原料药、他汀类原料药、精神类原料药,化学制剂、传统中药、生物制剂、化学原料药、医疗器械的研发、生产及销售。
539,2021,ST中捷,中捷资源投资股份有限公司,浙江,台州市,10.02亿,-9459.83万,1428,2004-07-15,--,,纺织服装机械,工业缝制机械,中、高档工业缝制机械的研发、生产和销售业务。
540,2022,*ST科华,上海科华生物工程股份有限公司,上海,上海市,15.94亿,2.21亿,1485,2004-07-21,--,,生物医药,诊断用品,体外诊断试剂、医疗检验仪器的研发、生产和销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
541,2023,海特高新,四川海特高新技术股份有限公司,四川,成都市,4.26亿,1849.33万,1179,2004-07-21,--,,航空装备,高端核心装备研制与保障、高性能集成电路设计与制造、飞行培训、微电子,高端核心装备研制与保障、高性能第二代/第三代集成电路设计与制造、航空工程技术与服务。
542,2024,ST易购,苏宁易购集团股份有限公司,江苏,南京市,1879.28亿,40.50亿,46036,2004-07-21,--,,专业连锁,日用百货、通讯产品、小家电产品、冰箱、洗衣机、数码电脑产品、空调产品、黑电产品、物流服务、安装维修业务,家用电器及消费类电子的销售和服务。
543,2025,航天电器,贵州航天电器股份有限公司,贵州,贵阳市,26.12亿,3.45亿,4906,2004-07-26,--,,电子零部件,连接器、微特电机、继电器、光通信器件,高端继电器、连接器、微特电机、光电子产品、电缆组件的研制、生产和销售。
544,2026,山东威达,山东威达机械股份有限公司,山东,威海市,14.69亿,1.24亿,3215,2004-07-27,--,,基础件,电动工具配件、粉末冶金件、锯片产品、机床、自动设备,"钻夹头,电动工具开关,粉末冶金件,精密铸造制品,锯片,机床及附件,智能制造系统集成及智能装备的研发,生产和销售。"
545,2027,分众传媒,分众传媒信息技术股份有限公司,广东,广州市,120.14亿,59.73亿,5872,2004-08-04,--,,网络媒体,楼宇媒体、影院媒体,生活圈媒体的开发和运营。
546,2028,思源电气,思源电气股份有限公司,上海,上海市,44.95亿,2.77亿,6099,2004-08-05,--,,电气自控设备,开关类、线圈类、无功补偿类、智能设备类,输配电设备的研发、生产、销售及服务。
547,2029,七匹狼,福建七匹狼实业股份有限公司,福建,泉州市,30.85亿,3.43亿,2525,2004-08-06,--,,男装,服装、信息技术及服务、其他,“七匹狼”品牌男装及针纺类产品的设计、生产和销售。
548,2030,达安基因,广州达安基因股份有限公司,广东,广州市,15.42亿,9612.06万,2713,2004-08-09,--,,生物医药,试剂类、仪器类、检测服务,以分子诊断技术为主导的，集临床检验试剂和仪器的研发、生产、销售以及全国连锁医学独立实验室临床检验服务。
549,2031,巨轮智能,巨轮智能装备股份有限公司,广东,揭阳市,11.55亿,1.29亿,2068,2004-08-16,--,,智能装备,汽车轮胎装备、智能装备制造、现代服务,轮胎专用制造设备的研发、生产和销售。
550,2032,苏泊尔,浙江苏泊尔股份有限公司,浙江,杭州市,145.42亿,13.26亿,11840,2004-08-17,--,,小家电,明火炊具品类、厨房小家电品类、厨卫电器品类、生活家居电器类,厨房用具、不锈钢制品、日用五金、小型家电及炊具的研发、生产和销售。
551,2033,丽江股份,丽江玉龙旅游股份有限公司,云南,丽江市,6.87亿,2.17亿,1666,2004-08-25,--,,景区,旅游索道、印象丽江文艺演出、酒店、其他业务,旅游索道、印象丽江文艺演出、酒店、其他业务。
552,2034,旺能环境,旺能环境股份有限公司,浙江,湖州市,14.05亿,2.70亿,2134,2004-08-26,--,,印染,生态保护和环境治理,"采用BOT、BOO、PPP等投资运营模式,承接全国各地生活垃圾焚烧发电、餐厨垃圾处理、污泥处理处置及其他固体废物资源综合利用等环保项目。"
553,2035,华帝股份,华帝股份有限公司,广东,中山市,57.31亿,5.27亿,5566,2004-09-01,--,,小家电,厨卫电器、环境电器、全屋定制产品,从事高端智能厨电、卫浴产品、定制家居等的研发、生产、销售。
554,2036,联创电子,联创电子科技股份有限公司,江西,南昌市,50.54亿,2.96亿,8410,2004-09-03,--,,光学元件,触控显示、光学元件、集成电路、终端制造,从事研发、生产及销售为智能手机、平板电脑、智能驾驶、运动相机、智能家居、VR/AR等配套的光学镜头、摄像模组及触控显示一体化等关键光学、光电子产品及智能终端产品制造。
555,2037,保利联合,保利联合化工控股集团股份有限公司,贵州,贵阳市,53.55亿,2.02亿,8361,2004-09-08,--,,民爆用品,民爆产品、爆破及工程施工,民爆器材产品研发、生产、销售、爆破、配送、工程技术服务、设计及施工等一体化经营业务。
556,2038,双鹭药业,北京双鹭药业股份有限公司,北京,北京市,12.42亿,5.29亿,761,2004-09-09,--,,生物医药,生物、生化药、化学药,基因工程及相关药物的研究开发和生产经营。
557,2039,黔源电力,贵州黔源电力股份有限公司,贵州,贵阳市,24.19亿,5.43亿,734,2005-03-03,--,,水电,电力、其他,水力发电站(厂)的开发建设与经营管理
558,2040,南京港,南京港股份有限公司,江苏,南京市,6.78亿,1.30亿,959,2005-03-25,--,,港口,交通运输服务,提供原油、成品油、液体化工产品及普通货物的装卸、仓储服务、为船舶提供码头、在港区内提供物流服务。
559,2041,登海种业,山东登海种业股份有限公司,山东,烟台市,8.04亿,1.36亿,716,2005-04-18,--,,种子,农作物种子,农作物新品种选育、许可证规定经营范围内的农作物种子生产、分装、销售。
560,2042,华孚时尚,华孚时尚股份有限公司,安徽,淮北市,125.97亿,7.03亿,16566,2005-04-27,--,,棉纺,纱线、网链、祙制品,主营中高档色纺纱线，配套提供高档新型的坯纱、染色纱，同时提供流行趋势、原料与产品认证、技术咨询等增值服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
561,2043,兔宝宝,德华兔宝宝装饰新材股份有限公司,浙江,湖州市,41.20亿,3.64亿,4158,2005-05-10,--,,其他建材,装饰材料、成品家具、科技木、电商运营、品牌授权,装饰材料和成品家居的研发、生产和销售。
562,2044,美年健康,美年大健康产业控股股份有限公司,江苏,南通市,62.82亿,6.34亿,35080,2005-05-18,--,,医疗服务,医疗行业,健康体检服务。
563,2045,国光电器,国光电器股份有限公司,广东,广州市,40.49亿,1.28亿,4002,2005-05-23,--,,电子零部件,音箱及扬声器、电池、电子零配件,音响电声类业务及锂电池业务。
564,2046,国机精工,国机精工股份有限公司,河南,郑州市,14.94亿,4309.17万,1809,2005-05-26,--,,基础件,轴承行业、磨料磨具行业、贸易、工程承包,轴承行业、磨料磨具行业及相关领域的研发制造、行业服务与技术咨询、贸易服务等。
565,2047,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司,广东,深圳市,71.64亿,3.84亿,2066,2005-05-31,--,,装修装饰,装修装饰,综合建筑装饰装修工程设计及施工。
566,2048,宁波华翔,宁波华翔电子股份有限公司,浙江,宁波市,148.07亿,11.65亿,17193,2005-06-03,--,,汽车零部件,汽车配件,从事汽车零部件的开发、生产和销售。
567,2049,紫光国微,紫光国芯微电子股份有限公司,河北,唐山市,18.29亿,2.79亿,2066,2005-06-06,--,,集成电路,智能安全芯片业务、特种集成电路业务、半导体功率器件业务、石英晶体频率器件业务,"集成电路芯片设计与销售,压电石英晶体元器件的开发、生产和销售,LED蓝宝石衬底材料生产和销售。"
568,2050,三花智控,浙江三花智能控制股份有限公司,浙江,绍兴市,95.81亿,12.51亿,14478,2005-06-07,--,,制冷配件,制冷空调电器零部件、汽车零部件,制冷空调电器零部件业务和汽车零部件业务。
569,2051,中工国际,中工国际工程股份有限公司,北京,北京市,109.09亿,13.62亿,4456,2006-06-19,--,,专业工程,工程承包与成套设备、咨询设计、国内外贸易、装备制造,工程承包、设计咨询、装备研发与制造、投资运营、贸易物流。
570,2052,*ST同洲,深圳市同洲电子股份有限公司,广东,深圳市,6.73亿,665.36万,361,2006-06-27,--,,机顶盒,通信及相关设备制造业,广电全业务融合云平台、数字电视中间件、智能电视操作系统TVOS、智能数字终端、智能网关、数字电视前端设备等的研发、制造、服务与销售以及与智慧家庭相关的增值业务的开发、集成和运营。
571,2053,云南能投,云南能源投资股份有限公司,云南,昆明市,14.47亿,1.60亿,2411,2006-06-27,--,,调味品,盐业、天然气、风电,"食盐、工业盐、日化盐、芒硝等系列产品的生产销售,天然气管网建设、运营、天然气销售、入户安装服务以及陆上风力发电的运营。"
572,2054,德美化工,广东德美精细化工集团股份有限公司,广东,佛山市,24.56亿,3629.21万,1695,2006-07-25,--,,印染化学品,纺织化学品、皮革化学品、石油精细化学品,纺织化学品、皮革化学品、石油精细化学品的研发、生产、销售和提供专业服务。
573,2055,得润电子,深圳市得润电子股份有限公司,广东,深圳市,58.51亿,1.48亿,9547,2006-07-25,--,,电子零部件,电子器件、精密组件,电子连接器和精密组件的研发、生产及销售。
574,2056,横店东磁,横店集团东磁股份有限公司,浙江,金华市,62.97亿,6.08亿,15269,2006-08-02,--,,磁性材料,磁性材料、锂电池、光伏产品、器件,从事磁性材料+器件、光伏+锂电两大产业群相关产品的研发、生产、销售以及提供一站式技术解决方案的服务。
575,2057,中钢天源,中钢天源股份有限公司,安徽,马鞍山市,11.57亿,1.36亿,1517,2006-08-02,--,,磁性材料,工业原料、电子元器件、冶金、矿山、机电工程专用设备、金属制品、金属制品检测,检验检测服务业务和磁性材料的研发、生产及销售。
576,2058,威尔泰,上海威尔泰工业自动化股份有限公司,上海,上海市,1.12亿,281.64万,340,2006-08-02,--,,电气仪表,仪器、仪表,自动化仪器仪表的研发、生产和销售。
577,2059,云南旅游,云南旅游股份有限公司,云南,昆明市,20.26亿,1.13亿,2540,2006-08-10,--,,景区,旅游文化科技、文旅综合体运营、旅游综合服务,旅游文化科技、文旅综合体运营、旅游综合服务。
578,2060,粤水电,广东水电二局股份有限公司,广东,广州市,66.30亿,1.60亿,4181,2006-08-10,--,,水利建设,工程施工、产品销售、发电、勘测设计与咨询服务,主要业务是水利水电及轨道交通等工程建设，水力、风力、太阳能光伏清洁能源发电业务以及风电塔筒装备制造业务。
579,2061,浙江交科,浙江交通科技股份有限公司,浙江,杭州市,207.68亿,11.48亿,7815,2006-08-16,--,,聚氨酯,基建工程,基建工程业务。
580,2062,宏润建设,宏润建设集团股份有限公司,浙江,宁波市,81.27亿,2.73亿,1955,2006-08-16,--,,铁路城轨建设,建筑施工及市政基础设施投资业务、房地产业务、新能源开发业务,建筑施工、房地产开发、基础设施投资及新能源开发。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
581,2063,远光软件,远光软件股份有限公司,广东,珠海市,11.79亿,1.67亿,4470,2006-08-23,--,,行业应用软件,集团管理业务,提供电力行业财务和管理信息化全面解决方案
582,2064,华峰化学,华峰化学股份有限公司,浙江,温州市,41.50亿,3.85亿,7395,2006-08-23,--,,氨纶,化学纤维、化工新材料、基础化工产品,氨纶纤维、聚氨酯原液、己二酸等聚氨酯制品材料的研发、生产与销售。
